Algorithm,test_rmse,fit_time,test_time
SVDpp,0.9519806859565865,1449.5693790912628,34.628475189208984
SVD,0.9569777121702941,56.8815803527832,3.054269234339396
BaselineOnly,0.9588290446577453,0.5410736401875814,2.0156314373016357
KNNBaseline,0.9862076376230015,12.49326984087626,27.932689666748047
KNNWithMeans,0.9964430268934121,12.40636396408081,24.509705384572346
KNNWithZScore,1.0021358071927897,13.10945955912272,26.066691160202026
CoClustering,1.0127242024620318,18.731311957041424,2.2260750929514566
NMF,1.051432033519202,59.292935053507485,2.7823874155680337
KNNBasic,1.1068046061686898,12.031694571177164,23.25769559542338
NormalPredictor,1.5055214336727325,0.629097064336141,2.3843753337860107
